restaurant_name,category,subcategory,preferred_way,order_times,favorite_item,,,,
Bang Bang Canteen,,,delivery,,,,,
Barshu,,,delivery,,,,,Tuesday,K-N
Bombay Palace,,,delivery,,,,,Wednesday,O-R
Bread Ahead,,,delivery,,,,,Thursday,S-V
Burger&Lobster,,,delivery,,,,,
Cacciari's,,,delivery,,,,,Friday,W-Z
Caso Manolo,,,delivery,,,,,,
Co&Ko,,,delivery,,,,,,
Cocotte,,,delivery,,,,,,
Curry House CoColchibanya,,,delivery,,,,,,
Demartino,,,delivery,,,,,,
DF Tacos,mexican,,delivery,,,,,,
Eat Tokyo,,,delivery,,,,,,
Eggslut,breakfast,,delivery,,,,,,
Four Seasons,Chinese,Cantonese,delivery,,,,,,
Gail's,bakery,,delivery,,,,,,
Gaucho,argentinian,,delivery,,,,,,
German Food,,,delivery,,,,,,
Gourmet Burger Kitchen,burger,,delivery,,,,,,
Hagen,breakfast,,delivery,,,,,,
Hakkasan,Chinese,Cantonese,delivery,,,,,,
Honi Poke,,,delivery,,,,,,
Ichiba,,,delivery,,,,,,
Intoku,,,delivery,,,,,,
It's all greek to me,,,take-away,,,,,,
Jia - Lunch,Chinese,Cantonese,delivery,,,,,,
Kanada-Ya Ramen Bar,,,delivery,,,,,,
Kensu Kitchen Sushi Bar,,,delivery,,,,,,
Keu Banh Mi,,,delivery,,,,,,
Kova,cake,,delivery,,,,,,
Laurent,French,,take-away,,,,,,
Le Deli Robuchon,French,,delivery,,,,,,
Les Filles,,,take-away,,,,,,
Little Farm,,,delivery,,,,,,
LIU Xiaomian,,,delivery,,,,,,
Louza,,,delivery,,,,,,
Machi Machi,bubble tea,,delivery,,,,,,
Makan Cafe,,,delivery,,,,,,
Monga Fried Chicken,Chinese,,delivery,,,,,,
Monkey & Me,,,delivery,,,,,,
Murger HanHan,,,delivery,,,,,,
Nabh Mi Town Fresh Vietnamese Food,,,delivery,,,,,,
Nala,Japanese,,delivery,,,,,
Noura,,,delivery,,,,,,
Ohisama Sushi,Japanese,,delivery,,,,,
Oka,Japanese,,delivery,,,,,,
Old Chang Kee,Singaporean,,delivery,,,,,,
Ole & Steen,bakery,,delivery,,,,,,
Orphalese,,,delivery,,,,,,
OTE,,,delivery,,,,,,
Ottolenghi,,,delivery,,,,,,
Paramount Lebanese Kitchen,,,delivery,,,,,,
Pasta Evangelists,,,delivery,,,,,,
Pearl Liang,Chinese,Cantonese,delivery,,,,,,
Phat Phuc Noodle Bar,,,delivery,,,,,,
Pho,,,delivery,,,,,,
Rossopomodoro,,,delivery,,,,,,
Siam Central,,,delivery,,,,,,
Sushi Murasaki,,,delivery,,,,,,
Tao Tao Ju,Chinese,Cantonese,delivery,,,,,,
Thai Zapp,,,delivery,,,,,,
The Athenian,Greek,,delivery,,,,,,
The Locals Chelsea,breakfast,,delivery,,,,,,
The Mantl,,,delivery,,,,,,
Titu,,,delivery,,,,,,
Tokyo Pizza,,,delivery,,,,,,
Tortilla,,,delivery,,,,,,
Woo Tea,bubble tea,,delivery,,,,,,
Wrap Guys by Lokkanta,,,delivery,,,,,,
Yoobi Sushi,,,delivery,,,,,,
Youatcha,Chinese,Cantonese,delivery,,,,,,
Young Cheng Seafood,grocery,,delivery,,,,,,
Urban Doner Kebab,,delivery,,,,,,,
Waitrose,grocery,,delivery,,,,,,
